City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,ridgecrest,35.6225,-117.6709,16.92,44,75,7.2,US,1679362984
131,butaritari,3.0707,172.7902,27.17,79,12,5.46,KI,1679362944
132,sosnovo-ozerskoye,52.5249,111.5418,-7.45,90,100,5.1,RU,1679362985
133,bathurst,-33.4166,149.5806,23.79,58,100,1.79,AU,1679362986
134,kodiak,57.79,-152.4072,0.73,93,100,8.23,US,1679362944
135,clyde river,70.4692,-68.5914,-21.87,77,100,6.69,CA,1679362947
136,asmar,35.0333,71.3581,13.19,54,100,3.16,AF,1679362988
137,nuuk,64.1835,-51.7216,-12.13,75,5,3.52,GL,1679362988
138,narsaq,60.9167,-46.05,2.12,66,100,4.83,GL,1679362945
139,katherine,-14.4667,132.2667,30.18,62,100,5.66,AU,1679362990
140,puerto quijarro,-17.7833,-57.7667,22.06,99,100,1.99,BO,1679362990
141,ternate,0.8,127.4,29.17,71,85,0.4,ID,1679362943
142,carutapera,-1.195,-46.02,23.02,95,100,2.47,BR,1679362991
143,jishou,28.3167,109.7167,11.77,91,100,0.42,CN,1679362992
144,wanaka,-44.7,169.15,8.42,83,100,3.6,NZ,1679362993
145,eureka,40.8021,-124.1637,10.52,67,96,0.89,US,1679362726
146,batemans bay,-35.7167,150.1833,19.5,60,100,2.73,AU,1679362946
147,broome,42.2506,-75.833,2.44,57,23,1.34,US,1679362848
148,ponta do sol,32.6667,-17.1,17.35,80,34,2.47,PT,1679362800
149,rabo de peixe,37.8,-25.5833,14.73,82,20,4.63,PT,1679362996
150,kedrovyy,56.1667,91.8167,-19.77,79,100,3.22,RU,1679362996
151,kruisfontein,-34.0033,24.7314,16.6,92,1,1.71,ZA,1679362943
152,dryden,49.7833,-92.7503,-8.84,29,0,1.54,CA,1679362998
153,kokstad,-30.5472,29.4241,17.51,58,98,2.37,ZA,1679362999
154,ixtapa,20.7,-105.2,24.57,69,20,3.6,MX,1679363000
155,saint-pierre,-21.3393,55.4781,24.2,83,20,2.57,RE,1679363001
156,sitka,57.0531,-135.33,5.94,70,100,5.66,US,1679362944
157,bay roberts,47.5999,-53.2648,-0.93,73,100,8.94,CA,1679363002
158,ferrol,43.4832,-8.2369,13.71,84,93,3.77,ES,1679362730
159,high level,58.5169,-117.136,0.06,37,40,2.06,CA,1679362943
160,hithadhoo,-0.6,73.0833,27.91,74,89,3.46,MV,1679362944
161,kolondieba,11.0882,-6.8926,29.74,21,88,1.14,ML,1679363005
162,ayan,56.45,138.1667,-6.07,70,100,4.25,RU,1679363006
163,padang,-0.9492,100.3543,24.03,89,100,3.35,ID,1679362850
164,hasaki,35.7333,140.8333,19.05,81,100,7.95,JP,1679362948
165,constantine,36.365,6.6147,4.67,93,40,2.06,DZ,1679362943
166,lithakia,37.7167,20.8333,8.65,71,100,2.89,GR,1679363008
167,tuktoyaktuk,69.4541,-133.0374,-7.0,79,75,4.63,CA,1679362945
168,torbay,47.6666,-52.7314,-1.35,77,100,21.09,CA,1679362944
169,alice springs,-23.7,133.8833,32.75,40,0,3.09,AU,1679363008
170,onega,63.9061,38.1404,-3.53,94,100,2.18,RU,1679363010
171,aviles,43.5547,-5.9248,11.77,86,100,3.6,ES,1679362945
172,bathsheba,13.2167,-59.5167,26.34,73,40,9.77,BB,1679362944
173,fortuna,40.5982,-124.1573,10.37,65,0,1.79,US,1679362665
174,tipuani,-15.5648,-68.0185,20.94,97,100,0.9,BO,1679363012
175,coihueco,-36.6167,-71.8333,18.41,34,0,2.06,CL,1679363013
176,provideniya,64.3833,-173.3,0.56,98,100,3.35,RU,1679362948
177,adilpur,27.937,69.3187,22.49,46,3,2.95,PK,1679363014
178,olafsvik,64.8945,-23.7142,-1.53,75,100,11.64,IS,1679362946
179,porto novo,6.4965,2.6036,28.9,76,71,3.68,BJ,1679363016
180,upernavik,72.7868,-56.1549,-27.74,99,89,4.9,GL,1679362945
181,leningradskiy,69.3833,178.4167,-19.49,97,100,9.99,RU,1679362946
182,jizan,17.3333,42.6667,24.52,55,0,0.5,SA,1679363018
183,arraial do cabo,-22.9661,-42.0278,24.98,88,0,4.12,BR,1679362944
184,mar del plata,-38.0023,-57.5575,18.3,73,0,1.54,AR,1679362703
185,yellowknife,62.456,-114.3525,-9.71,48,20,4.63,CA,1679362758
186,kankan,10.3854,-9.3057,28.43,25,49,3.33,GN,1679363020
187,kjollefjord,70.9457,27.3465,-2.97,68,20,9.26,NO,1679363020
188,asyut,27.181,31.1837,12.1,70,0,2.33,EG,1679363021
189,sambava,-14.2667,50.1667,24.03,90,100,3.56,MG,1679363021
190,nyrob,60.733,56.7202,-1.48,96,100,3.63,RU,1679363022
191,sabang,5.8933,95.3214,27.96,75,99,5.33,ID,1679363023
192,kenai,60.5544,-151.2583,3.05,76,100,4.12,US,1679362948
193,livingston,55.9029,-3.5226,9.71,89,75,1.54,GB,1679363024
194,saskylakh,71.9167,114.0833,-30.38,88,7,3.28,RU,1679362944
195,lodwar,3.1191,35.5973,27.21,51,100,1.43,KE,1679363025
196,dafeng,23.4517,108.5881,25.86,72,98,3.39,CN,1679363026
197,santo andre,-23.6639,-46.5383,23.4,82,0,3.6,BR,1679363026
198,alenquer,-1.9417,-54.7383,24.63,83,100,1.38,BR,1679363027
199,coihaique,-45.5752,-72.0662,8.97,81,0,2.57,CL,1679362949
200,zaysan,47.4667,84.8667,-9.87,59,27,1.15,KZ,1679363028
201,baykit,61.67,96.37,-20.63,98,100,1.38,RU,1679362943
202,taikang,46.8333,124.4167,9.19,28,15,2.71,CN,1679363029
203,hostotipaquillo,21.0667,-104.0667,18.34,36,0,2.58,MX,1679363029
204,hatillo,18.4863,-66.8254,25.29,83,3,1.34,PR,1679363030
205,sokolo,14.7328,-6.1219,27.31,16,0,4.02,ML,1679363031
206,pisco,-13.7,-76.2167,23.03,83,0,3.09,PE,1679362943
207,flin flon,54.7682,-101.865,-13.2,95,100,2.6,CA,1679362944
208,bredasdorp,-34.5322,20.0403,17.02,64,4,4.13,ZA,1679362943
209,bolshoy kamen,43.1225,132.3583,1.94,49,10,1.52,RU,1679363032
210,andenes,69.3143,16.1194,-1.01,93,100,8.23,NO,1679362948
211,severo-kurilsk,50.6789,156.125,-0.3,72,20,6.53,RU,1679362666
212,thompson,55.7435,-97.8558,-12.91,61,75,1.54,CA,1679362667
213,victoria,22.2855,114.1577,25.11,84,100,0.89,HK,1679362944
214,claresholm,50.0333,-113.5852,1.95,55,6,3.09,CA,1679363034
215,meulaboh,4.1363,96.1285,25.9,87,100,3.72,ID,1679362945
216,stepantsevo,56.1314,41.7032,0.29,99,100,1.41,RU,1679363035
217,soyo,-6.1349,12.3689,25.78,83,94,1.5,AO,1679363036
218,kasane,-17.8167,25.15,17.38,90,20,0.5,BW,1679363037
219,mugur-aksy,50.35,90.5,-18.43,45,13,1.16,RU,1679363037
220,banamba,13.55,-7.45,24.92,15,0,4.45,ML,1679362947
221,marrakesh,31.6315,-8.0083,14.04,58,0,3.6,MA,1679363033
222,aklavik,68.2191,-135.0107,-5.2,92,100,4.56,CA,1679363038
223,prabumulih,-3.45,104.25,26.12,87,98,0.93,ID,1679363039
224,ikare,7.4913,5.2322,23.66,90,91,2.21,NG,1679363040
225,vicuna,-30.0319,-70.7081,13.85,73,0,0.27,CL,1679363040
226,hamilton,39.1834,-84.5333,6.35,40,0,4.12,US,1679362304
227,chokurdakh,70.6333,147.9167,-26.99,92,100,8.68,RU,1679362946
228,dudinka,69.4058,86.1778,-10.18,95,100,6.34,RU,1679363042
229,bembereke,10.2283,2.6634,25.2,58,42,2.31,BJ,1679363043
230,nanortalik,60.1432,-45.2371,-2.68,77,100,3.81,GL,1679362944
231,labuhan,-6.8844,112.2051,28.15,73,100,1.55,ID,1679363045
232,tasiilaq,65.6145,-37.6368,-5.91,68,91,2.92,GL,1679362945
233,manga,11.6636,-1.0731,30.24,35,94,2.41,BF,1679363046
234,krasnooktyabrskiy,44.9328,38.3712,8.94,84,99,3.33,RU,1679363047
235,new norfolk,-42.7826,147.0587,17.73,39,100,1.0,AU,1679362944
